instance,formulation,lower_bound,upper_bound,time,variables,constaints
j6036_6,discrete,76.0,76.0,2.14,18236,1054
j6036_6,continuous,76.0,76.0,0.07,3977,7183
j6026_4,discrete,65.0,65.0,3.58,16571,987
j6026_4,continuous,65.0,73.00000000000024,600.0,4525,8123
j6018_3,discrete,77.0,77.0,1.73,16850,987
j6018_3,continuous,77.0,77.0,2.96,4623,8254
j6013_4,discrete,62.0,62.0,2.94,19335,1104
j6013_4,continuous,63.0,134.0,600.01,5561,9917
j6028_2,discrete,64.0,64.0,3.69,16235,987
j6028_2,continuous,64.0,64.0,0.12,4929,8830
j6030_6,discrete,68.0,68.0,4.33,16097,951
j6030_6,continuous,68.0,282.0,1088.01,4773,8557
j6037_9,discrete,77.0,77.0,3.6,17731,1074
j6037_9,continuous,77.0,77.0,143.98,3673,6450
j6030_10,discrete,81.0,81.0,2.84,18774,1011
j6030_10,continuous,81.0,292.0,957.46,4901,8781
j6010_7,discrete,69.0,69.0,2.71,18218,1020
j6010_7,continuous,69.0,72.0,600.0,5433,9693
j6038_3,discrete,76.0,76.0,3.4,17800,1074
j6038_3,continuous,76.0,76.0,9.24,4031,7273
j6016_6,discrete,66.0,66.0,3.15,19277,1136
j6016_6,continuous,66.0,66.0,0.13,5265,9399
j6032_7,discrete,76.0,76.0,2.99,17595,1051
j6032_7,continuous,76.0,76.0,0.12,4605,8263
j6012_7,discrete,71.0,71.0,2.38,19001,1056
j6012_7,continuous,71.0,71.0,0.14,5265,9399
j6022_6,discrete,79.0,79.0,3.68,18487,1067
j6022_6,continuous,79.0,79.0,11.23,4677,8377
j6035_6,discrete,79.0,79.0,2.06,16421,970
j6035_6,continuous,79.0,79.0,1.84,3855,6950
j6045_7,discrete,74.0,74.0,4.6,15864,958
j6045_7,continuous,74.0,128.0,600.0,3861,6854
j6019_2,discrete,83.0,83.0,2.28,20113,1175
j6019_2,continuous,83.0,83.0,1.23,4547,8139
j6045_8,discrete,79.0,79.0,3.13,19181,1122
j6045_8,continuous,84.0,143.0,600.01,3709,6657
j6019_10,discrete,78.0,78.0,1.95,17460,1035
j6019_10,continuous,78.0,78.0,2.98,4463,7998
j6023_5,discrete,72.0,72.0,3.15,18522,1083
j6023_5,continuous,72.0,72.0,4.1,4761,8536
j6043_3,discrete,74.0,74.0,4.96,17360,1054
j6043_3,continuous,74.0,74.0,2.72,3909,7064
j6034_1,discrete,67.0,67.0,2.15,17429,1078
j6034_1,continuous,67.0,67.0,151.59,3739,6714
j6034_1,discrete,67.0,67.0,2.15,17429,1078
j6034_1,continuous,92.0,92.0,1.67,3771,6794
j6015_3,discrete,72.0,72.0,2.97,18502,1092
j6015_3,continuous,72.0,72.0,2.81,5621,10022
j6018_7,discrete,87.0,87.0,1.62,15538,815
j6018_7,continuous,87.0,87.0,2.07,4211,7497
j6013_9,discrete,67.0,67.0,2.58,18560,1024
j6013_9,continuous,68.0,139.0,653.63,5305,9469
j6030_4,discrete,76.0,76.0,3.17,16701,899
j6030_4,continuous,76.0,295.0,1014.45,4745,8508
j6010_6,discrete,67.0,67.0,2.73,16881,948
j6010_6,continuous,67.0,99.0,719.9,5089,9091
j6033_3,discrete,77.0,77.0,1.94,15329,918
j6033_3,continuous,77.0,91.0,902.36,3837,6827
j6018_4,discrete,71.00000000000001,71.00000000000001,2.04,20293,1227
j6018_4,continuous,71.0,71.0,8.1,4887,8728
j6020_2,discrete,78.0,78.0,1.57,15043,847
j6020_2,continuous,78.0,78.0,0.1,4361,7812
j6041_5,discrete,67.0,67.0,2.82,18215,1134
j6041_5,continuous,71.201208334,105.0,600.0,3817,6672
j6014_6,discrete,65.0,65.0,3.31,16611,972
j6014_6,continuous,65.0,66.0,1536.0,5341,9532
j6042_8,discrete,78.0,78.0,4.97,18025,1070
j6042_8,continuous,78.0,85.0,600.01,4121,7435
j6029_1,discrete,59.0,59.0,2.49,16486,1015
j6029_1,continuous,60.0,295.0,1039.58,4607,8244
j6029_1,discrete,59.0,59.0,2.49,16486,1015
j6029_1,continuous,-inf,inf,981.33,4901,8724
j6013_2,discrete,65.99999999999999,65.99999999999999,3.14,16480,936
j6013_2,continuous,66.0,140.0,600.01,5527,9838
j6010_4,discrete,80.0,80.0,2.95,17431,928
j6010_4,continuous,80.0,80.0,38.52,5493,9798
j6011_9,discrete,62.0,62.0,2.34,17561,1024
j6011_9,continuous,62.0,62.0,4.43,5501,9812
j6029_7,discrete,73.0,73.0,4.49,16099,907
j6029_7,continuous,-inf,inf,1019.38,4245,7501
j6018_1,discrete,80.0,80.0,1.86,17830,979
j6018_1,continuous,97.0,97.0,1.71,4401,7873
j6018_1,discrete,80.0,80.0,1.86,17830,979
j6018_1,continuous,80.0,80.0,6.62,4563,8152
j6043_10,discrete,78.0,78.0,3.46,15373,906
j6043_10,continuous,78.0,78.0,11.33,4117,7428
j6036_5,discrete,57.0,57.0,1.7,14925,954
j6036_5,continuous,57.0,57.0,0.08,3987,7199
j6024_3,discrete,67.0,67.0,2.66,16358,975
j6024_3,continuous,67.0,67.0,0.1,4477,8039
j6032_3,discrete,85.0,85.0,3.22,19153,1091
j6032_3,continuous,85.0,85.0,0.11,4477,8039
j6015_2,discrete,89.0,89.0,3.36,17456,880
j6015_2,continuous,89.0,89.0,19.82,5313,9483
j6024_10,discrete,66.0,66.0,3.02,18213,1095
j6024_10,continuous,66.0,66.0,0.09,4533,8137
j603_6,discrete,57.0,57.0,1.98,19729,1152
j603_6,continuous,57.0,57.0,7.62,5531,9863
j6024_1,discrete,65.0,65.0,1.86,14491,855
j6024_1,continuous,65.0,65.0,0.1,4589,8235
j6024_1,discrete,65.0,65.0,1.86,14491,855
j6024_1,continuous,66.0,66.0,0.09,4533,8137
j6039_7,discrete,68.0,68.0,3.46,17477,1058
j6039_7,continuous,68.0,68.0,2.03,4209,7589
j6034_3,discrete,61.0,61.0,1.63,16362,1038
j6034_3,continuous,61.0,61.0,62.16,4123,7416
j6031_10,discrete,56.0,56.0,3.21,16648,1019
j6031_10,continuous,-inf,inf,894.5,4945,8858
j6028_10,discrete,74.0,74.0,3.29,21666,1271
j6028_10,continuous,74.0,74.0,0.11,4869,8725
j6021_10,discrete,51.0,51.0,1.86,14805,947
j6021_10,continuous,53.0,71.00000000000014,600.01,4543,7904
j6041_7,discrete,79.0,79.0,5.49,18556,1122
j6041_7,continuous,83.908623644,92.00000000000765,600.0,3029,5158
j603_1,discrete,60.0,60.0,1.6,17694,1036
j603_1,continuous,67.0,67.0,7.56,5195,9251
j603_1,discrete,60.0,60.0,1.6,17694,1036
