instance,formulation,lower_bound,upper_bound,time,variables,constaints
j3040_9,discrete,64.0,64.0,0.64,4549,433
j3040_9,continuous,64.0,64.0,0.02,821,1546
j3018_6,discrete,53.0,53.0,0.47,4621,471
j3018_6,continuous,53.0,53.0,0.34,1001,1836
j3047_6,discrete,50.0,50.0,0.71,4311,457
j3047_6,continuous,53.0,53.0,1.84,853,1608
j3030_6,discrete,54.0,54.0,0.72,4143,407
j3030_6,continuous,62.0,62.0,8.04,1025,1899
j3013_4,discrete,50.0,50.0,0.49,3635,341
j3013_4,continuous,51.0,51.0,0.88,997,1714
j3023_1,discrete,63.0,63.0,0.73,4283,391
j3023_1,continuous,63.0,63.0,0.41,1017,1885
j3023_1,continuous,61.0,61.0,0.14,937,1730
j3012_3,discrete,37.0,37.0,0.32,3860,409
j3012_3,continuous,37.0,37.0,0.03,1265,2309
j3047_9,discrete,64.99999999999999,64.99999999999999,0.77,4382,397
j3047_9,continuous,65.0,65.0,0.33,801,1517
j308_5,discrete,58.0,58.0,0.51,4501,421
j308_5,continuous,58.0,58.0,0.03,1169,2141
j3034_2,discrete,42.0,42.0,0.35,3625,421
j3034_2,continuous,42.0,42.0,0.02,723,1361
j306_3,discrete,45.0,45.0,0.45,3958,377
j306_3,continuous,47.0,47.0,0.57,1173,2145
j305_4,discrete,43.0,43.0,0.62,5291,581
j305_4,continuous,48.0,48.0,4.33,1209,2139
j3040_6,discrete,60.0,60.0,0.52,4017,373
j3040_6,continuous,60.0,60.0,0.02,709,1350
j3031_4,discrete,50.0,50.0,0.51,3597,351
j3031_4,continuous,50.0,50.0,0.45,1081,1997
j309_8,discrete,54.0,54.0,0.79,4883,485
j309_8,continuous,55.0,55.0,0.99,987,1659
j3025_6,discrete,41.0,41.0,0.4,4009,431
j3025_6,continuous,41.0,52.0,938.56,943,1658
j3019_2,discrete,58.0,58.0,0.51,4693,459
j3019_2,continuous,58.0,58.0,0.07,1045,1919
j3033_4,discrete,75.99999999999999,75.99999999999999,0.47,4194,325
j3033_4,continuous,76.0,76.0,0.15,801,1478
j3039_5,discrete,55.0,55.0,0.54,4234,429
j3039_5,continuous,55.0,55.0,0.18,839,1576
j3044_3,discrete,51.0,51.0,0.74,4732,493
j3044_3,continuous,51.0,51.0,0.02,873,1643
j3048_2,discrete,54.0,54.0,0.55,3337,341
j3048_2,continuous,54.0,54.0,0.02,757,1440
j308_3,discrete,53.0,53.0,0.61,4627,389
j308_3,continuous,53.0,53.0,0.03,1335,2430
j3022_1,discrete,40.0,40.0,0.38,3752,391
j3022_1,continuous,55.0,55.0,1.41,1095,2017
j3022_1,continuous,42.0,42.0,0.4,1027,1901
j3013_8,discrete,48.0,48.0,0.9,4623,481
j3013_8,continuous,50.0,50.0,0.43,887,1421
j305_2,discrete,56.0,56.0,0.72,4520,401
j305_2,continuous,56.0,56.0,0.14,1117,1945
j3015_5,discrete,56.0,56.0,0.76,4869,449
j3015_5,continuous,58.0,58.0,33.65,1193,2183
j3018_1,discrete,47.0,47.0,0.4,4161,435
j3018_1,continuous,41.0,41.0,0.16,1061,1941
j3018_1,continuous,47.0,47.0,0.1,999,1831
j3034_6,discrete,51.0,51.0,0.42,4014,409
j3034_6,continuous,51.0,51.0,0.07,817,1527
j303_6,discrete,53.0,53.0,0.38,4060,353
j303_6,continuous,53.0,53.0,0.08,1129,2059
j3021_4,discrete,52.0,52.0,0.55,3861,367
j3021_4,continuous,55.0,55.0,0.32,789,1408
j308_8,discrete,51.0,51.0,0.53,3817,369
j308_8,continuous,51.0,51.0,0.03,1253,2288
j304_8,discrete,55.0,55.0,0.37,4196,401
j304_8,continuous,55.0,55.0,0.02,1121,2054
j3025_4,discrete,48.0,48.0,0.59,3558,351
j3025_4,continuous,49.0,49.0,0.48,811,1322
j3046_8,discrete,55.0,55.0,1.01,4772,513
j3046_8,continuous,58.0,58.0,2.47,801,1517
j3033_6,discrete,52.0,52.0,0.44,3782,389
j3033_6,continuous,52.0,52.0,0.09,777,1445
j301_8,discrete,53.0,53.0,0.39,3939,289
j301_8,continuous,53.0,53.0,0.18,1267,2278
j301_3,discrete,43.0,43.0,0.36,3591,345
j301_3,continuous,43.0,43.0,0.15,1143,2064
j3015_9,discrete,54.000000000000014,54.000000000000014,0.57,3989,377
j3015_9,continuous,54.0,54.0,1.46,1225,2239
j3038_10,discrete,57.0,57.0,0.66,4129,397
j3038_10,continuous,60.0,60.0,0.31,763,1443
j3024_1,discrete,53.0,53.0,0.4,3936,391
j3024_1,continuous,53.0,53.0,0.02,1025,1899
j3024_1,continuous,53.0,53.0,0.02,1047,1933
j3012_6,discrete,53.0,53.0,0.57,3837,345
j3012_6,continuous,53.0,53.0,0.03,1265,2309
j303_10,discrete,57.0,57.0,0.34,4504,429
j303_10,continuous,57.0,57.0,0.12,1135,2071
j305_1,discrete,41.0,41.0,0.51,4091,405
j305_1,continuous,41.0,41.0,0.25,1137,1998
j305_1,continuous,56.0,56.0,1.05,1151,2027
j303_4,discrete,98.0,98.0,0.4,4299,245
j303_4,continuous,98.0,98.0,0.08,909,1656
j302_4,discrete,42.0,42.0,0.51,4131,429
j302_4,continuous,42.0,42.0,0.19,1221,2214
j3029_1,discrete,62.0,62.0,0.74,4533,431
j3029_1,continuous,63.0,63.0,3.0,913,1589
j3029_1,continuous,51.0,51.0,0.29,729,1252
j3034_4,discrete,67.0,67.0,0.53,4106,401
j3034_4,continuous,67.0,67.0,0.06,709,1341
j3025_8,discrete,38.0,38.0,0.66,4305,475
j3025_8,continuous,44.0,44.0,2.66,943,1619
j3042_6,discrete,58.0,58.0,0.59,3992,401
j3042_6,continuous,64.0,64.0,0.56,767,1453
j3017_10,discrete,66.0,66.0,0.43,4794,439
j3017_10,continuous,66.0,66.0,0.11,955,1730
j3028_10,discrete,59.0,59.0,0.79,4471,443
j3028_10,continuous,59.0,59.0,0.03,993,1843
j3016_1,discrete,51.0,51.0,0.52,3733,373
j3016_1,continuous,51.0,51.0,0.03,1281,2337
j3016_1,continuous,51.0,51.0,0.03,1225,2239
j3033_2,discrete,53.0,53.0,0.55,4388,461
j3033_2,continuous,53.0,53.0,0.09,779,1450
j3038_9,discrete,56.0,56.0,0.55,4349,449
j3038_9,continuous,59.0,59.0,0.35,823,1542
j3031_6,discrete,52.99999999999999,52.99999999999999,0.56,3614,347
j3031_6,continuous,53.0,53.0,0.27,1105,2039
j3040_4,discrete,57.0,57.0,0.66,4198,389
j3040_4,continuous,57.0,57.0,0.02,817,1542
j3032_3,discrete,57.0,57.0,1.14,5046,515
j3032_3,continuous,57.0,57.0,0.03,1045,1934
j3016_4,discrete,47.0,47.0,0.53,3976,377
j3016_4,continuous,47.0,47.0,0.03,1197,2190
j3021_8,discrete,48.0,48.0,0.48,4095,415
j3021_8,continuous,49.0,49.0,0.46,827,1464
j303_9,discrete,60.0,60.0,0.42,3922,313
j303_9,continuous,60.0,60.0,0.14,1171,2122
j3048_7,discrete,55.0,55.0,0.64,4081,377
j3048_7,continuous,55.0,55.0,0.02,825,1559
j304_1,discrete,49.0,49.0,0.24,3456,285
j304_1,continuous,49.0,49.0,0.02,1023,1878
j304_1,continuous,48.0,48.0,0.02,1191,2163
j3047_4,discrete,48.0,48.0,0.67,3894,413
j3047_4,continuous,49.0,49.0,0.56,801,1517
j3012_10,discrete,57.0,57.0,0.83,4602,389
j3012_10,continuous,57.0,57.0,0.03,1289,2351
j3021_2,discrete,42.0,42.0,0.44,3766,403
j3021_2,continuous,44.0,44.0,1.29,829,1460
j3015_7,discrete,47.0,47.0,0.46,3703,365
j3015_7,continuous,47.0,47.0,1.36,1181,2162
j3046_6,discrete,56.0,56.0,0.63,4230,393
j3046_6,continuous,59.0,59.0,16.51,853,1608
j3014_10,discrete,58.0,58.0,0.69,4362,373
j3014_10,continuous,61.0,61.0,2.34,1161,2127
j3011_6,discrete,44.0,44.0,0.63,4340,429
j3011_6,continuous,44.0,44.0,0.57,1253,2288
j309_1,discrete,55.0,55.0,0.5,4036,333
j309_1,continuous,57.0,57.0,0.57,999,1689
j309_1,continuous,63.0,63.0,0.84,973,1663
j3037_3,discrete,52.0,52.0,0.58,4137,445
j3037_3,continuous,52.0,52.0,0.14,731,1306
j3030_2,discrete,65.0,65.0,0.74,4615,379
j3030_2,continuous,66.0,68.0,960.41,997,1850
j3011_7,discrete,35.0,35.0,0.73,4723,513
j3011_7,continuous,36.0,36.0,3.44,1341,2442
j3047_1,discrete,58.0,58.0,0.75,3633,377
j3047_1,continuous,60.0,60.0,7.73,833,1573
j3047_1,continuous,58.0,58.0,0.2,713,1363
j3025_2,discrete,43.0,43.0,0.51,3523,371
j3025_2,continuous,46.0,46.0,0.13,701,1155
j3034_10,discrete,47.0,47.0,0.4,4082,445
j3034_10,continuous,47.0,47.0,0.12,861,1610
j3038_8,discrete,53.0,53.0,0.58,4099,401
j3038_8,continuous,57.0,57.0,0.2,793,1491
j3019_7,discrete,54.0,54.0,0.4,4233,435
j3019_7,continuous,54.0,54.0,0.11,1033,1895
j3032_2,discrete,60.0,60.0,0.81,4592,459
j3032_2,continuous,60.0,60.0,0.03,1041,1927
j3016_5,discrete,51.0,51.0,0.59,4503,409
j3016_5,continuous,51.0,51.0,0.03,1213,2218
j3018_5,discrete,50.0,50.0,0.48,4312,415
j3018_5,continuous,50.0,50.0,0.12,973,1799
j3021_7,discrete,53.0,53.0,0.5,3760,379
j3021_7,continuous,53.0,53.0,0.11,835,1445
j3048_8,discrete,44.0,44.0,0.66,3828,413
j3048_8,continuous,44.0,44.0,0.02,777,1475
j3026_6,discrete,49.0,49.0,0.47,3678,359
j3026_6,continuous,53.0,53.0,6.1,945,1759
j3025_7,discrete,59.0,59.0,0.6,4476,423
j3025_7,continuous,59.0,59.0,0.18,771,1318
j3036_6,discrete,46.0,46.0,0.37,3660,401
j3036_6,continuous,46.0,46.0,0.02,849,1592
j3025_10,discrete,47.0,47.0,0.36,3354,311
j3025_10,continuous,47.0,47.0,0.92,847,1499
j305_7,discrete,43.0,43.0,0.75,4629,477
j305_7,continuous,47.0,47.0,1.38,1225,2125
j3041_6,discrete,65.0,65.0,0.73,3477,321
j3041_6,continuous,65.0,65.0,0.07,627,1046
j3019_5,discrete,47.0,47.0,0.51,4118,423
j3019_5,continuous,47.0,47.0,0.12,1009,1859
j3039_2,discrete,54.0,54.0,0.51,4092,365
j3039_2,continuous,54.0,54.0,0.24,835,1572
j309_10,discrete,63.0,63.0,0.65,4609,385
j309_10,continuous,63.0,63.0,0.84,973,1663
j3016_7,discrete,34.0,34.0,0.56,3925,425
j3016_7,continuous,34.0,34.0,0.03,1233,2253
j3047_8,discrete,48.0,48.0,0.78,4198,449
j3047_8,continuous,48.0,48.0,0.22,841,1587
j3029_10,discrete,51.0,51.0,0.53,3312,295
j3029_10,continuous,51.0,51.0,0.29,729,1252
j3015_3,discrete,48.0,48.0,0.36,3333,289
j3015_3,continuous,48.0,48.0,1.08,1189,2176
j3020_10,discrete,37.0,37.0,0.36,3467,375
j3020_10,continuous,37.0,37.0,0.02,1009,1871
j3035_7,discrete,59.0,59.0,0.41,3747,357
j3035_7,continuous,59.0,59.0,0.08,713,1348
j3048_4,discrete,57.0,57.0,0.65,4086,389
j3048_4,continuous,57.0,57.0,0.02,821,1552
j3029_6,discrete,43.0,43.0,0.77,4788,519
j3029_6,continuous,54.055990302,66.0,1329.61,897,1573
j3016_10,discrete,51.0,51.0,0.54,4007,389
j3016_10,continuous,51.0,51.0,0.03,1281,2337
j3026_10,discrete,47.0,47.0,0.64,4234,443
j3026_10,continuous,49.0,49.0,3.59,1041,1927
j301_7,discrete,59.99999999999999,59.99999999999999,0.3,3603,313
j301_7,continuous,60.0,60.0,0.14,1109,1991
j3018_9,discrete,44.0,44.0,0.33,4057,439
j3018_9,continuous,44.0,44.0,0.14,979,1781
j3032_5,discrete,54.0,54.0,0.69,4295,419
j3032_5,continuous,54.0,54.0,0.03,1045,1934
j3044_1,discrete,50.0,50.0,0.52,3685,365
j3044_1,continuous,50.0,50.0,0.02,885,1664
j3044_1,continuous,63.0,63.0,0.02,805,1524
j3018_3,discrete,53.0,53.0,0.39,4094,411
j3018_3,continuous,53.0,53.0,0.08,901,1670
j3036_4,discrete,59.0,59.0,0.47,3965,377
j3036_4,continuous,59.0,59.0,0.02,783,1484
j3037_5,discrete,59.0,59.0,0.79,4833,505
j3037_5,continuous,62.0,62.0,0.27,705,1286
j3024_10,discrete,53.0,53.0,0.56,3954,395
j3024_10,continuous,53.0,53.0,0.02,1047,1933
j309_2,discrete,45.0,45.0,0.65,4041,401
j309_2,continuous,48.00000000000057,48.00000000000057,0.37,905,1466
j3041_8,discrete,55.0,55.0,0.63,4489,405
j3041_8,continuous,61.0,61.0,0.58,747,1307
j3023_9,discrete,58.0,58.0,0.63,4538,427
